,user,job_name,node_id,count,mean_core
61,a07smr01,LM7_OPE,52,6,10.516266073138942
62,a07smr01,LM7_OPE,54,49,8.983813855566819
63,a07smr01,LM7_OPE,56,56,9.909702226855789
64,a07smr01,LM7_OPE,57,88,9.555676178853883
65,a07smr01,LM7_OPE,58,61,9.529606348672901
66,a07smr01,LM7_OPE,59,61,9.300980533000752
67,a07smr01,LM7_OPE,60,40,9.245708224111917
68,a07smr01,LM7_OPE,61,39,8.651548563691794
69,a07smr01,LM7_OPE,62,61,8.774490384729036
70,a07smr01,LM7_OPE,63,61,8.774490384729036
71,a07smr01,LM7_TST,1,1,15.889014287384004
72,a07smr01,LM7_TST,2,1,15.889014287384004
73,a07smr01,LM7_TST,6,1,15.889014287384004
74,a07smr01,LM7_TST,33,1,15.889014287384004
75,a07smr01,LM7_TST,34,5,18.107531149837232
76,a07smr01,LM7_TST,35,5,15.848679097687642
77,a07smr01,LM7_TST,36,13,15.604783609187349
78,a07smr01,LM7_TST,37,40,17.542892467216184
79,a07smr01,LM7_TST,38,24,16.077737152124868
80,a07smr01,LM7_TST,40,38,17.454100029258946
81,a07smr01,LM7_TST,42,38,17.51946971414659
82,a07smr01,LM7_TST,44,1,15.889014287384004
83,a07smr01,LM7_TST,46,33,18.31228970202352
84,a07smr01,LM7_TST,47,54,19.04090859102821
85,a07smr01,LM7_TST,48,46,20.83561846333431
86,a07smr01,LM7_TST,49,55,19.028765931429774
87,a07smr01,LM7_TST,50,79,20.35559135626295
88,a07smr01,LM7_TST,51,27,18.649278914459106
89,a07smr01,LM7_TST,52,5,20.782981491806577
90,a07smr01,LM7_TST,54,40,18.633793292237677
91,a07smr01,LM7_TST,56,44,20.431283965286998
92,a07smr01,LM7_TST,57,70,21.282806593160004
93,a07smr01,LM7_TST,58,50,22.25198918104933
94,a07smr01,LM7_TST,59,46,22.22901333188828
95,a07smr01,LM7_TST,60,28,19.451052720708553
96,a07smr01,LM7_TST,61,28,22.20880480240857
97,a07smr01,LM7_TST,62,47,21.038429004446375
98,a07smr01,LM7_TST,63,33,18.560972305401492
99,a07smr01,LM_PRE,1,1,18.278633816851702
100,a07smr01,LM_PRE,2,1,18.278633816851702
101,a07smr01,LM_PRE,6,1,18.278633816851702
102,a07smr01,LM_PRE,33,1,18.278633816851702
103,a07smr01,LM_PRE,34,9,12.981377483008048
104,a07smr01,LM_PRE,35,11,9.514407922695108
105,a07smr01,LM_PRE,36,27,12.785553819276586
106,a07smr01,LM_PRE,37,91,15.711174286362093
107,a07smr01,LM_PRE,38,65,14.8022462822533
108,a07smr01,LM_PRE,40,86,15.621366489294177
109,a07smr01,LM_PRE,42,87,15.67811705321189
110,a07smr01,LM_PRE,44,1,18.278633816851702
111,a07smr01,LM_PRE,46,57,14.911329134873302
112,a07smr01,LM_PRE,47,82,13.818379952977802
113,a07smr01,LM_PRE,48,76,15.43189264382228
114,a07smr01,LM_PRE,49,81,13.99789850644421
115,a07smr01,LM_PRE,50,117,15.149621319150969
116,a07smr01,LM_PRE,51,39,15.168800787845358
117,a07smr01,LM_PRE,52,7,18.707724496996175
118,a07smr01,LM_PRE,54,59,13.94717739070165
119,a07smr01,LM_PRE,56,60,15.333876415467707
120,a07smr01,LM_PRE,57,93,16.58876939266498
121,a07smr01,LM_PRE,58,62,18.671792524965632
122,a07smr01,LM_PRE,59,67,17.78156923175588
123,a07smr01,LM_PRE,60,45,14.765897883621962
124,a07smr01,LM_PRE,61,45,17.3066218861294
125,a07smr01,LM_PRE,62,70,15.434249972531633
126,a07smr01,LM_PRE,63,70,15.434249972531633
127,a07smr01,POSTPROCESS,33,7,5.7688891794157895
128,a07smr01,POSTPROCESS,35,77,5.430883845788576
129,a07smr01,POSTPROCESS,46,25,4.057729098135607
130,a07smr01,POSTPROCESS,58,1,10.89862993140581
131,a07smr01,SWAN_CAM,37,2,10.929686623523965
132,a07smr01,SWAN_CAM,38,4,5.464843311761983
134,a07smr01,SWAN_CAM,42,2,22.42550176189952
135,a07smr01,SWAN_CAM,46,2,22.42550176189952
136,a07smr01,SWAN_CAM,50,2,19.43307331876344
137,a07smr01,SWAN_CAM,54,5,9.006998332523072
138,a07smr01,SWAN_CAM,56,7,17.4839670550162
139,a07smr01,SWAN_CAM,57,11,20.242578368916536
140,a07smr01,SWAN_CAM,58,7,23.263040082949882
141,a07smr01,SWAN_CAM,59,8,22.981753542692633
142,a07smr01,SWAN_CAM,60,2,23.38106458724752
143,a07smr01,SWAN_CAM,61,7,22.969491491028545
144,a07smr01,SWAN_CAM,62,3,20.8223779556496
145,a07smr01,SWAN_CAM,63,8,13.437765691195521
146,a07smr01,SWAN_EMR,1,1,3.3111105272565626
147,a07smr01,SWAN_EMR,40,2,23.394562202906872
148,a07smr01,SWAN_EMR,42,4,18.34310750091185
149,a07smr01,SWAN_EMR,44,1,3.3111105272565626
150,a07smr01,SWAN_EMR,46,2,13.291652798916822
151,a07smr01,SWAN_EMR,47,6,15.709647854890335
152,a07smr01,SWAN_EMR,48,5,22.519521439229777
153,a07smr01,SWAN_EMR,49,9,17.966933280560557
154,a07smr01,SWAN_EMR,50,12,19.61722832127003
155,a07smr01,SWAN_EMR,51,6,15.291091406917053
156,a07smr01,SWAN_EMR,56,9,15.86128379342454
157,a07smr01,SWAN_EMR,57,9,14.041189056893105
158,a07smr01,SWAN_EMR,58,2,22.945476913788468
159,a07smr01,SWAN_EMR,59,2,11.802193045842522
160,a07smr01,SWAN_EMR,60,2,18.11764507846616
161,a07smr01,SWAN_EMR,61,2,11.802193045842522
162,a07smr01,SWAN_EMR,62,1,3.4738125726593756
163,a07smr01,SWAN_EMR,63,1,3.4738125726593756
165,a07smr01,SWAN_MAR,37,4,11.609377530064055
166,a07smr01,SWAN_MAR,40,2,23.21875506012811
167,a07smr01,SWAN_MAR,47,1,3.4469197023648435
168,a07smr01,SWAN_MAR,48,3,22.996604132181925
169,a07smr01,SWAN_MAR,49,1,3.4469197023648435
170,a07smr01,SWAN_MAR,50,11,22.142719256102733
171,a07smr01,SWAN_MAR,51,6,21.415275078486527
172,a07smr01,SWAN_MAR,52,4,18.977180251828635
173,a07smr01,SWAN_MAR,56,2,23.04422447483256
174,a07smr01,SWAN_MAR,57,12,21.94129993252764
175,a07smr01,SWAN_MAR,58,8,23.42335977287715
